code	label	xbrl_id
d9141:916	自己株式の処分、その他利益剰余金	jpfr-t-cte:DisposalOfTreasuryStockORE
d9141:916	自己株式の消却、その他利益剰余金	jpfr-t-cte:RetirementOfTreasuryStockORE
d9141:_DEBT	利益処分、その他利益剰余金	jpfr-t-cte:ProfitAppropriationORE
d9141:915	利益準備金の積立、その他利益剰余金	jpfr-t-cte:ProvisionOfLegalRetainedEarningsORE
915:c9141	利益準備金の取崩、その他利益剰余金	jpfr-t-cte:ReversalOfLegalRetainedEarningsORE
911:c9141	減資、その他利益剰余金	jpfr-t-cte:CapitalReductionORE
d9141:9132	利益剰余金から資本剰余金への振替、その他利益剰余金	jpfr-t-cte:TransferToCapitalSurplusFromRetainedEarningsORE
9141:9141	当期変動額合計、その他利益剰余金	jpfr-t-cte:TotalChangesOfItemsDuringThePeriodORE
d9142:ASET	剰余金の配当、繰越利益剰余金	jpfr-t-cte:DividendsFromSurplusREBF
ASET:c9142DEBT	合併による増加、繰越利益剰余金	jpfr-t-cte:IncreaseByMergerREBF
ASET:c9142DEBT:split	会社分割による増加、繰越利益剰余金	jpfr-t-cte:IncreaseByCorporateDivisionREBF
33:c9142	株式交換による増加、繰越利益剰余金	jpfr-t-cte:IncreaseByShareExchangesREBF
33:c9142:transfer	株式移転による増加、繰越利益剰余金	jpfr-t-cte:IncreaseByShareTransfersREBF
d9142ASET:DEBT	分割型の会社分割による減少、繰越利益剰余金	jpfr-t-cte:DecreaseByCorporateDivisionSplitOffTypeREBF
d9142:916	自己株式の処分、繰越利益剰余金	jpfr-t-cte:DisposalOfTreasuryStockREBF
d9142:916	自己株式の消却、繰越利益剰余金	jpfr-t-cte:RetirementOfTreasuryStockREBF
d9142:_DEBT	利益処分、繰越利益剰余金	jpfr-t-cte:ProfitAppropriationREBF
d9142:915	利益準備金の積立、繰越利益剰余金	jpfr-t-cte:ProvisionOfLegalRetainedEarningsREBF
915:c9142	利益準備金の取崩、繰越利益剰余金	jpfr-t-cte:ReversalOfLegalRetainedEarningsREBF
_913:c9142	欠損填補、繰越利益剰余金	jpfr-t-cte:DeficitDispositionREBF
911:c9142	減資、繰越利益剰余金	jpfr-t-cte:CapitalReductionREBF
d9142:9132	利益剰余金から資本剰余金への振替、繰越利益剰余金	jpfr-t-cte:TransferToCapitalSurplusFromRetainedEarningsREBF
9142:9142	当期変動額合計、繰越利益剰余金	jpfr-t-cte:TotalChangesOfItemsDuringThePeriodREBF
d916:_	自己株式の取得、自己株式	jpfr-t-cte:PurchaseOfTreasuryStockTS
_:c916	自己株式の処分、自己株式	jpfr-t-cte:DisposalOfTreasuryStockTS
_:c916	自己株式の消却、自己株式	jpfr-t-cte:RetirementOfTreasuryStockTS
_916:916	持分法適用会社に対する持分変動に伴う自己株式の増減、自己株式	jpfr-t-cte:ChangeInEquityInAffiliatesAccountedForByEquityMethodTreasuryStockTS
916:916	当期変動額合計、自己株式	jpfr-t-cte:TotalChangesOfItemsDuringThePeriodTS
