code	label	xbrl_id	consumption_tax	income_tax
C1Q	雑費	jppfs_cor:MiscellaneousExpensesSGA
C1R	貸倒引当金繰入	jppfs_cor:ProvisionOfAllowanceForDebtfulAccountsSGA
C1S	支払報酬
CA	営業利益	jppfs_cor:OperatingIncome
D0	営業外収益	jppfs_cor:NonOperatingIncomeAbstract
D11	受取利息	jppfs_cor:InterestIncomeNOI
D12	受取配当金	jppfs_cor:DividendsIncomeNOI
D13	有価証券売却益	jppfs_cor:GainOnSalesOfSecuritiesNOI
D14	有価証券利息	jppfs_cor:InterestsOnSecuritiesNOI
D15	為替差益	jppfs_cor:ForeignExchangeGainsNOI
D16	雑収入	jppfs_cor:MiscellaneousIncomeNOI
E0	営業外費用	jppfs_cor:NonOperatingExpensesAbstract
E11	支払利息	jppfs_cor:InterestExpensesNOE
E12	手形売却損	jppfs_cor:LossOnSalesOfNotesPayableNOE
E13	有価証券売却損	jppfs_cor:LossOnSalesOfSecuritiesNOE
E14	有価証券評価損	jppfs_cor:LossOnValuationOfSecuritiesNOE
E15	為替差損	jppfs_cor:ForeignExchangeLossesNOE
E16	雑損失	jppfs_cor:MiscellaneousLossNOE
EA	経常利益	jppfs_cor:OrdinaryIncome
F0	特別利益	jppfs_cor:ExtraordinaryIncomeAbstract
F11	固定資産売却益	jppfs_cor:GainOnSalesOfNoncurrentAssetsEI
F12	償却債権取立益	jppfs_cor:GainOnBadDebtsRecoveredEI
G0	特別損失	jppfs_cor:ExtraordinaryLossAbstract
G11	固定資産売却損	jppfs_cor:LossOnSalesOfNoncurrentAssetsEL
G12	固定資産除却損	jppfs_cor:LossOnRetirementOfNoncurrentAssetsEL
G13	災害損失	jppfs_cor:LossOnDisasterEL
GA	税引前純利益	jppfs_cor:IncomeBeforeIncomeTaxes
HA	当期利益	jppfs_cor:ProfitLoss
