code	label	xbrl_id	consumption_tax	income_tax
C15	退職金	jppfs_cor:RetirementPaymentsSGA
C16	法定福利費	jppfs_cor:LegalWelfareExpensesSGA
C17	旅費交通費	jppfs_cor:TravellingAndTransportationExpensesSGA
C18	通信費	jppfs_cor:CommunicationExpensesSGA
C19	修繕費	jppfs_cor:RepairExpensesSGA
C1A	広告宣伝費	jppfs_cor:AdvertisingExpensesSGA
C1B	接待交際費	jppfs_cor:EntertainmentExpensesSGA
C1C	荷造運賃	jppfs_cor:FreightageAndPackingExpensesSGA
C1D	福利厚生費	jppfs_cor:WelfareExpensesSGA
C1E	地代家賃	jppfs_cor:RentsSGA
C1F	水道光熱費	jppfs_cor:UtilitiesExpensesSGA
C1G	消耗品費	jppfs_cor:SuppliesExpensesSGA
C1H	保険料	jppfs_cor:InsuranceExpensesSGA
C1I	租税公課	jppfs_cor:TaxesAndDuesSGA
C1I1	消費税			
C1I2	事業税			
C1J	賃借料	jppfs_cor:RentExpensesSGA
C1K	新聞図書費	jppfs_cor:BookExpensesSGA
C1L	貸倒損失	jppfs_cor:BadDebtsExpensesSGA
C1M	諸会費	jppfs_cor:MembershipFeeSGA
C1N	支払手数料	jppfs_cor:CommissionFeeSGA
C1O	外注費	jppfs_cor:SubcontructExpensesSGA
C1P	減価償却費	jppfs_cor:DepreciationSGA
C1Q	雑費	jppfs_cor:MiscellaneousExpensesSGA
C1R	貸倒引当金繰入	jppfs_cor:ProvisionOfAllowanceForDebtfulAccountsSGA
C1S	支払報酬	jppfs_cor:CompensationsSGA
C1T	研修費	jppfs_cor:TrainingExpensesSGA
C1U	採用費	jppfs_cor:RecruitingExpensesSGA
C1V	業務委託費	jppfs_cor:BusinessConsignmentExpensesSGA
C1W	会議費	jppfs_cor:ConferenceExpensesSGA
CA	営業利益	jppfs_cor:OperatingIncome
D0	営業外収益	jppfs_cor:NonOperatingIncomeAbstract
D11	受取利息	jppfs_cor:InterestIncomeNOI
D12	受取配当金	jppfs_cor:DividendsIncomeNOI
D13	有価証券売却益	jppfs_cor:GainOnSalesOfSecuritiesNOI
D14	有価証券利息	jppfs_cor:InterestsOnSecuritiesNOI
D15	為替差益	jppfs_cor:ForeignExchangeGainsNOI
D16	雑収入	jppfs_cor:MiscellaneousIncomeNOI
E0	営業外費用	jppfs_cor:NonOperatingExpensesAbstract
E11	支払利息	jppfs_cor:InterestExpensesNOE
E12	手形売却損	jppfs_cor:LossOnSalesOfNotesPayableNOE
E13	有価証券売却損	jppfs_cor:LossOnSalesOfSecuritiesNOE
E14	有価証券評価損	jppfs_cor:LossOnValuationOfSecuritiesNOE
E15	為替差損	jppfs_cor:ForeignExchangeLossesNOE
E16	雑損失	jppfs_cor:MiscellaneousLossNOE
EA	経常利益	jppfs_cor:OrdinaryIncome
F0	特別利益	jppfs_cor:ExtraordinaryIncomeAbstract
F11	固定資産売却益	jppfs_cor:GainOnSalesOfNoncurrentAssetsEI
F12	償却債権取立益	jppfs_cor:GainOnBadDebtsRecoveredEI
G0	特別損失	jppfs_cor:ExtraordinaryLossAbstract
G11	固定資産売却損	jppfs_cor:LossOnSalesOfNoncurrentAssetsEL
G12	固定資産除却損	jppfs_cor:LossOnRetirementOfNoncurrentAssetsEL
G13	災害損失	jppfs_cor:LossOnDisasterEL
GA	税引前利益	jppfs_cor:IncomeBeforeIncomeTaxes
H0	法人税等	jppfs_cor:IncomeTaxes
H11	法人税、住民税及び事業税	jppfs_cor:IncomeTaxesCurrent
H111	法人税
H112	都道府県住民税
H113	市町村住民税
H114	地方事業税
HA	当期利益	jppfs_cor:ProfitLoss
