code	label	xbrl_id	consumption_tax	income_tax
C15	退職金	jpfr-etax-t-cte:PensionExpense		
C16	法定福利費	jpfr-t-cte:LegalWelfareExpensesSGA		
C17	旅費交通費	jpfr-t-cte:TravelingExpensesSGA		
C18	通信費	jpfr-t-cte:CommunicationExpensesSGA		
C19	修繕費	jpfr-t-cte:RepairExpensesSGA		
C1A	広告宣伝費	jpfr-t-cte:AdvertisingExpensesSGA		
C1B	接待交際費	jpfr-t-cte:EntertainmentExpensesSGA		
C1C	荷造運賃	jpfr-t-cte:HaulageExpensesSGA		
C1D	福利厚生費	jpfr-t-cte:WelfareExpensesSGA		
C1E	地代家賃	jpfr-t-cte:RentsSGA		
C1F	水道光熱費	jpfr-t-cte:HeatingAndLightingExpensesSGA		
C1G	消耗品費	jpfr-t-cte:SuppliesExpensesSGA		
C1H	保険料	jpfr-t-cte:InsuranceExpensesSGA		
C1I	租税公課	jpfr-t-cte:TaxesAndDuesSGA		
C1J	賃借料	jpfr-etax-t-cte:LeaseExpense		
C1K	新聞図書費	jpfr-etax-t-cte:PapersSubscriptionLibraryCost		
C1L	貸倒損失	jpfr-t-cte:AllowanceSGA		
C1M	諸会費	jpfr-t-cte:MembershipFeeSGA		
C1N	支払手数料	jpfr-t-cte:CommissionFeeSGA		
C1O	外注費	jpfr-t-cte:SubcontractExpensesSGA		
C1P	減価償却費	jpfr-t-cte:DepreciationSGA		
C1Q	雑費	jpfr-t-cte:MiscellaneousExpensesSGA		
C1R	貸倒引当金繰入			
C1S	支払報酬	jpfr-t-cte:CompensationsSGA		
C1T	研修費	jpfr-etax-t-cte:RecruitmentEducationExpense		
C1U	採用費			
C1V	業務委託費			
C1W	会議費			
CA	営業利益	jpfr-t-cte:OperatingIncome		
D0	営業外収益	jpfr-t-cte:NonOperatingIncome		
D11	受取利息	jpfr-t-cte:InterestIncomeNOI		
D12	受取配当金	jpfr-t-cte:DividendsIncomeNOI		
D13	有価証券売却益			
D14	有価証券利息	jpfr-t-cte:InterestOnSecuritiesNOI		
D15	為替差益			
D16	雑収入	jpfr-t-cte:MiscellaneousIncomeNOI		
E0	営業外費用	jpfr-t-cte:NonOperatingExpenses		
E11	支払利息	jpfr-t-cte:InterestExpensesNOE		
E12	手形売却損			
E13	有価証券売却損			
E14	有価証券評価損			
E15	為替差損			
E16	雑損失			
EA	経常利益	jpfr-t-cte:OrdinaryIncome		
F0	特別利益	jpfr-t-cte:ExtraordinaryIncome		
F11	固定資産売却益	jpfr-t-cte:GainOnSalesOfNoncurrentAssetsEI		
F12	償却債権取立益			
G0	特別損失	jpfr-t-cte:ExtraordinaryLoss		
G11	固定資産売却損	jpfr-t-cte:LossOnSalesOfNoncurrentAssetsEL		
G12	固定資産除却損			
G13	災害損失	jpfr-t-cte:LossOnDisasterEL		
GA	税引前利益	jpfr-t-cte:IncomeBeforeIncomeTaxes		
H0	法人税等	jpfr-t-cte:IncomeTaxes		
H11	法人税、住民税及び事業税	jpfr-t-cte:IncomeTaxesCurrent		
HA	当期利益	jpfr-t-cte:NetIncome		
